image_path,label
.\original\faces\000\0000.png,0
.\original\faces\000\0010.png,0
.\original\faces\000\0020.png,0
.\original\faces\000\0030.png,0
.\original\faces\000\0040.png,0
.\original\faces\000\0050.png,0
.\original\faces\000\0060.png,0
.\original\faces\000\0070.png,0
.\original\faces\000\0080.png,0
.\original\faces\000\0090.png,0
.\original\faces\000\0100.png,0
.\original\faces\000\0110.png,0
.\original\faces\000\0120.png,0
.\original\faces\000\0130.png,0
.\original\faces\000\0140.png,0
.\original\faces\000\0150.png,0
.\original\faces\000\0160.png,0
.\original\faces\000\0170.png,0
.\original\faces\000\0180.png,0
.\original\faces\000\0190.png,0
.\original\faces\000\0200.png,0
.\original\faces\000\0210.png,0
.\original\faces\000\0220.png,0
.\original\faces\000\0230.png,0
.\original\faces\000\0240.png,0
.\original\faces\000\0250.png,0
.\original\faces\000\0260.png,0
.\original\faces\000\0270.png,0
.\original\faces\000\0280.png,0
.\original\faces\000\0290.png,0
.\original\faces\000\0300.png,0
.\original\faces\000\0310.png,0
.\original\faces\000\0320.png,0
.\original\faces\000\0330.png,0
.\original\faces\000\0340.png,0
.\original\faces\000\0350.png,0
.\original\faces\000\0360.png,0
.\original\faces\000\0370.png,0
.\original\faces\000\0380.png,0
.\original\faces\000\0390.png,0
.\original\faces\001\0000.png,0
.\original\faces\001\0010.png,0
.\original\faces\001\0020.png,0
.\original\faces\001\0030.png,0
.\original\faces\001\0040.png,0
.\original\faces\001\0050.png,0
.\original\faces\001\0060.png,0
.\original\faces\001\0070.png,0
.\original\faces\001\0080.png,0
.\original\faces\001\0090.png,0
.\original\faces\001\0100.png,0
.\original\faces\001\0110.png,0
.\original\faces\001\0120.png,0
.\original\faces\001\0130.png,0
.\original\faces\001\0140.png,0
.\original\faces\001\0150.png,0
.\original\faces\001\0160.png,0
.\original\faces\001\0170.png,0
.\original\faces\001\0180.png,0
.\original\faces\001\0190.png,0
.\original\faces\001\0200.png,0
.\original\faces\001\0210.png,0
.\original\faces\001\0220.png,0
.\original\faces\001\0230.png,0
.\original\faces\001\0240.png,0
.\original\faces\001\0250.png,0
.\original\faces\001\0260.png,0
.\original\faces\001\0270.png,0
.\original\faces\001\0280.png,0
.\original\faces\001\0290.png,0
.\original\faces\001\0300.png,0
.\original\faces\001\0310.png,0
.\original\faces\001\0320.png,0
.\original\faces\001\0330.png,0
.\original\faces\001\0340.png,0
.\original\faces\001\0350.png,0
.\original\faces\001\0360.png,0
.\original\faces\001\0370.png,0
.\original\faces\001\0380.png,0
.\original\faces\001\0390.png,0
.\original\faces\001\0400.png,0
.\original\faces\001\0410.png,0
.\original\faces\001\0420.png,0
